id,name,highway,public_tra,operator,shelter,bus,route_ref,network,bench,wheelchair,amenity,railway,website,train,covered,line,route,alt_name,ferry,contact_we,opening_ho,contact_ph,email,contact_mo,station,aeroway,contact_em,contact_fa,official_n,lat,lon,COD_RIP,COD_REG,COD_PROV,COD_CM,COD_PCM,DEN_PROV,DEN_CM,DEN_PCM,SIGLA,Shape_Leng,Shape_Area
2489190789.00000,Abzweigung Winkelweg - Bivio Via Winkel,bus_stop,platform,"SAD, SASA",no,,,,no,,,,,,,,,,,,,,,,,,,,,46.6690548,11.1686587,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190790.00000,Abzweigung Winkelweg - Bivio Via Winkel,bus_stop,,"SAD, SASA",yes,,,,,,,,,,,,,,,,,,,,,,,,,46.6690926,11.1685622,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190791.00000,St.-Anna-Klinik - Clinica S. Anna,bus_stop,platform,"SAD;SASA",no,,,Verkehrsverbund Südtirol,yes,,,,,,,,,,,,,,,,,,,,,46.6694372,11.170327,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190792.00000,St.-Anna-Klinik - Clinica S. Anna,bus_stop,platform,"SAD;SASA",no,,,Verkehrsverbund Südtirol,yes,,,,,,,,,,,,,,,,,,,,,46.6694535,11.1705808,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190794.00000,Schillerpark - Parco Schiller,bus_stop,platform,"SAD;SASA",no,,,Verkehrsverbund Südtirol,yes,,,,,,,,,,,,,,,,,,,,,46.6690875,11.1720007,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190795.00000,Via Cavour - Cavour Straße,bus_stop,,SASA,,,12,,,,,,,,,,,,,,,,,,,,,,,46.5015631,11.3597056,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190796.00000,Via De Lai - De Lai Straße,bus_stop,,SASA,,,"8;12",,,,,,,,,,,,,,,,,,,,,,,46.499285,11.3595483,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190797.00000,Via Diaz - Diaz Straße,bus_stop,,SASA,yes,,"1;14",,,,,,,,,,,,,,,,,,,,,,,46.5029175,11.3429358,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190798.00000,Ponte Druso - Drususbrücke,bus_stop,,SASA,yes,,"6;9;16;111;18",,,,,,,,,,,,,,,,,,,,,,,46.4947753,11.34705,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190799.00000,Ponte Druso - Drususbrücke,bus_stop,,SASA,no,,"6;9;16;111;18",,,,,,,,,,,,,,,,,,,,,,,46.4949431,11.3495597,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190800.00000,Caserma Carabinieri - Carabinieri Kaserne,bus_stop,,SASA,,,"6;9;16;111;18",,,,,,,,,,,,,,,,,,,,,,,46.4946175,11.3441619,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190801.00000,Caserma Carabinieri - Carabinieri Kaserne,bus_stop,,SASA,,,"6;9;16;111;18",,,,,,,,,,,,,,,,,,,,,,,46.4947293,11.3442156,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190802.00000,Bivio Via Resia - Abzweigung Reschenstraße,bus_stop,,SASA,,,8,,,,,,,,,,,,,,,,,,,,,,,46.4941219,11.3154886,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
